"population","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
108683,776,547000000,488407940,"Tonga",5032.985839551724,"Oceania",182
116300,583,458000000,427094119,"Micronesia",3938.091143594153,"Oceania",183
42415,584,277000000,279667900,"Marshall Islands",6530.70847577508,"Oceania",184
18051,585,267000000.00000003,225659873,"Palau",14791.424297822838,"Oceania",185
135763,296,246000000,223671137,"Kiribati",1811.981173073665,"Oceania",186
12884,520,150000000,147952220,"Nauru",11642.34709717479,"Oceania",187
11478,798,63000000,59040262,"Tuvalu",5488.761108207004,"Oceania",188
43372950,4,0,14174994400,"Afghanistan",326.8164697121132,"Asia",189
63935,60,0,7546000000,"Bermuda",118026.12027840776,"North America",190
31763,92,0,1471233257,"British Virgin Islands",46319.090041872616,"North America",191
69885,136,0,6281102622,"Cayman Islands",89877.69366816913,"North America",192
21949268,144,0,76187113737,"Sri Lanka",3471.0548769553498,"Asia",193
17072,184,0,289749646,"Cook Islands",16972.214503280225,"Oceania",194
11174587,192,0,147193876305,"Cuba",13172.19833762089,"North America",195
3817651,232,0,2383297748,"Eritrea",624.2838195529135,"Africa",196
311383,258,0,5814661197,"French Polynesia",18673.662971324702,"Oceania",197
5494963,275,0,19111900000,"Palestine",3478.0761945075883,"Asia",198
56789,304,0,2926118824,"Greenland",51526.15513567768,"North America",199
26244582,408,0,15176134613,"North Korea",578.2578138603998,"Asia",200
1667483,412,0,9397445599,"Kosovo",5635.706990116241,"Europe",201
5219044,422,0,39303066807,"Lebanon",7530.702329200521,"Asia",202
39822,438,0,7757945359,"Liechtenstein",194815.56323137964,"Europe",203
36157,492,0,8772072494,"Monaco",242610.62848134525,"Europe",204
4372,500,0,72262963,"Montserrat",16528.582570905764,"North America",205
192965,531,0,3075180835,"Curacao",15936.469489285622,"North America",206
44309,534,0,1572960894,"Sint Maarten",35499.8057730935,"North America",207
295966,540,0,9623318699,"New Caledonia",32514.946645898515,"Oceania",208
15936,660,0,452896296,"Anguilla",28419.697289156626,"North America",209
49358228,729,0,36729439159,"Sudan",744.1401494194646,"Africa",210
24348053,760,0,18595794717,"Syria",763.7487365827567,"Asia",211
46431,796,0,1138808881,"Turks and Caicos Islands",24526.908337102366,"North America",212
